num_seq,num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Rep_of_class_predict,family_2021,family_divercity,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,Genus,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %
76,72,NODE_2019_length_7271_cov_22.513555_4_2667_4226,519,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
77,73,NODE_2019_length_7271_cov_22.513555_5_4238_5815,525,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,6,6.0,100.0
78,74,NODE_2019_length_7271_cov_22.513555_6_5818_6951,377,323,1.0,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,2,2.0,100.0
79,75,NODE_1_length_7281_cov_15.486030_4_1796_3607,603,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
80,76,NODE_1_length_7281_cov_15.486030_5_3594_4727,377,323,1.0,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,2,2.0,100.0
81,77,NODE_1_length_7281_cov_15.486030_6_4730_6307,525,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,6,6.0,100.0
82,78,NODE_1_length_7281_cov_15.486030_7_6319_7281,321,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,1,1.0,100.0
83,79,NODE_4_length_2995_cov_82.889946_2_854_2446,530,741,0.89,QUD39733.1,Anelloviridae,Anelloviridae,Anelloviridae,5943,61,hypothetical protein,Hypothetical,Homo sapiens,ssDNA(-),Gammatorquevirus,6,1.0,16.67
84,80,NODE_18115_length_6058_cov_11.478218_1_1_3114,1037,215,1.0,APG77540.1,Virgaviridae,Virgaviridae,Virgaviridae,1536,408,RNA-dependent RNA polymerase,Replication-Transcription,Solanum lycopersicum,ssRNA(+),Tobamovirus,19,19.0,100.0
85,81,NODE_18115_length_6058_cov_11.478218_2_3133_4614,493,215,1.0,APG77540.1,Virgaviridae,Virgaviridae,Virgaviridae,1536,408,RNA-dependent RNA polymerase,Replication-Transcription,Solanum lycopersicum,ssRNA(+),Tobamovirus,5,5.0,100.0
86,82,NODE_2756_length_3039_cov_5.355865_1_2_1810,603,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
87,83,NODE_3920_length_1392_cov_5.625091_1_3_989,329,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,1,1.0,100.0
88,84,NODE_1_length_27570_cov_17.447291_1_325_12507,4060,94,1.0,YP_008439200.1,Coronaviridae,Coronaviridae,Coronaviridae,38,1217,polyprotein,Replication-Transcription,Sus scrofa,ssRNA(+),Alphacoronavirus,94,94.0,100.0
89,85,NODE_1_length_27570_cov_17.447291_2_12597_20513,2638,94,1.0,YP_008439200.1,Coronaviridae,Coronaviridae,Coronaviridae,38,1217,polyprotein,Replication-Transcription,Sus scrofa,ssRNA(+),Alphacoronavirus,59,59.0,100.0
90,86,NODE_1_length_27570_cov_17.447291_3_20588_24577,1329,36,1.0,ALK28765.1,Coronaviridae,Coronaviridae,Coronaviridae,1613,3663,spike protein,Structural-Envelope,Sus scrofa,ssRNA(+),Alphacoronavirus,26,24.0,92.31
91,87,NODE_1_length_27570_cov_17.447291_6_26168_27301,377,514,1.0,YP_009824971.1,Coronaviridae,Coronaviridae,Coronaviridae,12516,125,nucleocapsid protein,Other-Functions,Homo sapiens,ssRNA(+),Alphacoronavirus,2,2.0,100.0
92,88,NODE_2_length_2856_cov_8.754011_2_62_1654,530,978,0.99,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,6,2.0,33.33
93,89,NODE_131_length_3842_cov_5.621303_4_1239_3059,606,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
94,90,NODE_17056_length_2250_cov_6.433378_2_669_2219,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
95,91,NODE_4_length_1730_cov_3.631924_3_501_1559,352,225,1.0,CAC80000.1,Bromoviridae,Bromoviridae,Bromoviridae,3066,383,1a protein-helicase-replicase,Replication-Transcription,Capsicum annuum,ssRNA(+),Cucumovirus,2,1.0,50.0
96,92,NODE_263_length_7375_cov_20.128230_2_334_1542,402,323,1.0,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,3,3.0,100.0
97,93,NODE_263_length_7375_cov_20.128230_3_1544_3109,521,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,6,6.0,100.0
98,94,NODE_263_length_7375_cov_20.128230_4_3125_4675,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
99,95,NODE_263_length_7375_cov_20.128230_8_5926_7374,483,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,5,5.0,100.0
100,96,NODE_19_length_7395_cov_12.570302_2_711_2261,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
101,97,NODE_19_length_7395_cov_12.570302_6_3512_5332,606,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
102,98,NODE_19_length_7395_cov_12.570302_7_5274_6482,402,323,1.0,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,3,3.0,100.0
103,99,NODE_19_length_7395_cov_12.570302_8_6484_7395,304,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,1,1.0,100.0
104,100,NODE_1_length_7405_cov_8.824313_2_517_2067,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
105,101,NODE_1_length_7405_cov_8.824313_3_2083_3648,521,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,6,6.0,100.0
106,102,NODE_1_length_7405_cov_8.824313_4_3650_4858,402,323,1.0,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,3,3.0,100.0
107,103,NODE_1_length_7405_cov_8.824313_5_4800_6620,606,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
108,104,NODE_341_length_6065_cov_115.329964_3_1464_2942,492,215,1.0,APG77540.1,Virgaviridae,Virgaviridae,Virgaviridae,1536,408,RNA-dependent RNA polymerase,Replication-Transcription,Solanum lycopersicum,ssRNA(+),Tobamovirus,5,5.0,100.0
109,105,NODE_341_length_6065_cov_115.329964_4_2961_6065,1034,215,1.0,APG77540.1,Virgaviridae,Virgaviridae,Virgaviridae,1536,408,RNA-dependent RNA polymerase,Replication-Transcription,Solanum lycopersicum,ssRNA(+),Tobamovirus,19,19.0,100.0
