num_seq,num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Rep_of_class_predict,family_2021,family_divercity,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,Genus,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %
38,36,contig-21_21_length_8134_read_count_14973_7_6327_7601,424,979,0.88,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,2.0,50.0
39,37,contig-21_23_length_8039_read_count_11981_2_629_3871,1080,197,0.98,YP_009351861.1,Flaviviridae,Flaviviridae,Flaviviridae,244,462,non-structural protein,Non-structural,Aedes aegypti,ssRNA(+),Flavivirus,20,6.0,30.0
40,38,contig-21_23_length_8039_read_count_11981_3_4044_5249,401,978,1.0,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,1.0,33.33
41,39,contig-21_23_length_8039_read_count_11981_6_6706_8037,443,978,0.91,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,4,3.0,75.0
42,40,contig-21_24_length_8024_read_count_13265_1_2_1051,350,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
43,41,contig-21_24_length_8024_read_count_13265_2_1128_2876,582,978,0.98,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,8,6.0,75.0
44,42,contig-21_24_length_8024_read_count_13265_3_3085_3993,302,1,1.0,YP_009072438.1,Coronaviridae,Coronaviridae-Herpesviridae-Orthomyxoviridae-Filoviridae-Flaviviridae-Astroviridae-Caliciviridae-Paramyxoviridae-Reoviridae-Retroviridae,Coronaviridae,12,12115,ORF1ab polyprotein,Other-Functions,Homo sapiens,ssRNA(+),Betacoronavirus,1,1.0,100.0
45,43,contig-21_24_length_8024_read_count_13265_4_4012_5652,546,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,6.0,85.71
46,44,contig-21_24_length_8024_read_count_13265_5_5682_6599,305,192,0.97,NP_056886.1,Retroviridae,Retroviridae,Retroviridae,1582,489,gag protein,Structural-Envelope,Gallus gallus,ssRNA-RT,Alpharetrovirus,1,1.0,100.0
47,45,contig-21_24_length_8024_read_count_13265_6_6647_8023,459,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
48,46,contig-21_27_length_7856_read_count_13729_2_330_1976,548,979,0.92,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,4.0,57.14
49,47,contig-21_27_length_7856_read_count_13729_3_2056_3036,326,979,0.89,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
50,48,contig-21_27_length_7856_read_count_13729_6_4826_6394,522,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,3.0,50.0
51,49,contig-21_27_length_7856_read_count_13729_7_6509_7852,447,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
52,50,contig-21_29_length_7761_read_count_11115_2_437_2011,524,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,1.0,16.67
53,51,contig-21_29_length_7761_read_count_11115_3_2157_3812,551,978,0.89,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,7,4.0,57.14
54,52,contig-21_31_length_7349_read_count_8798_3_717_3308,863,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,15,12.0,80.0
55,53,contig-21_31_length_7349_read_count_8798_5_3649_5562,637,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,9.0,100.0
56,54,contig-21_31_length_7349_read_count_8798_6_5702_7231,509,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,5.0,83.33
57,55,contig-21_32_length_7323_read_count_10797_3_775_2145,456,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,3.0,75.0
58,56,contig-21_32_length_7323_read_count_10797_4_2118_3416,432,979,0.9,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,2.0,50.0
59,57,contig-21_32_length_7323_read_count_10797_5_3554_7288,1244,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,24,17.0,70.83
60,58,contig-21_34_length_7221_read_count_11153_1_2_3655,1218,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,23,9.0,39.13
61,59,contig-21_34_length_7221_read_count_11153_2_3694_5316,540,978,0.96,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,6,6.0,100.0
62,60,contig-21_34_length_7221_read_count_11153_3_5309_7186,625,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,6.0,66.67
63,61,contig-21_37_length_6972_read_count_11957_1_35_2077,680,978,0.91,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,10,5.0,50.0
64,62,contig-21_37_length_6972_read_count_11957_4_2896_4965,689,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,3.0,30.0
65,63,contig-21_37_length_6972_read_count_11957_5_5173_6786,537,648,0.91,YP_009506682.1,Iridoviridae,Iridoviridae,Iridoviridae,3234,80,putative D5 family NTPase/ATPase,Replication-Transcription,Ambystoma tigrinum,dsDNA,Ranavirus,6,1.0,16.67
66,64,contig-21_39_length_6825_read_count_9574_1_80_1702,540,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
67,65,contig-21_39_length_6825_read_count_9574_2_1785_2972,395,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
68,66,contig-21_39_length_6825_read_count_9574_4_3650_4831,393,978,0.99,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,3.0,100.0
69,67,contig-21_39_length_6825_read_count_9574_6_5309_6823,504,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
70,68,contig-21_41_length_6758_read_count_11874_1_141_1100,319,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
71,69,contig-21_41_length_6758_read_count_11874_2_1243_3747,834,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,14,5.0,35.71
73,70,contig-21_47_length_6052_read_count_10410_2_988_3225,745,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,12,9.0,75.0
74,71,contig-21_47_length_6052_read_count_10410_3_3382_4581,399,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
75,72,contig-21_48_length_6052_read_count_6674_1_95_1720,541,457,0.98,NP_064204.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5221,141,capsid portal protein,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,7,3.0,42.86
76,73,contig-21_48_length_6052_read_count_6674_3_2382_5933,1183,978,0.98,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,23,10.0,43.48
77,74,contig-21_49_length_5890_read_count_9807_1_35_5890,1951,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,42,19.0,45.24
78,75,contig-21_50_length_5879_read_count_10918_2_392_1534,380,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
79,76,contig-21_50_length_5879_read_count_10918_4_1927_2883,318,978,1.0,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,1,1.0,100.0
80,77,contig-21_50_length_5879_read_count_10918_7_4905_5879,325,979,0.91,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
81,78,contig-21_51_length_5766_read_count_8252_2_989_2203,404,978,0.93,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,2.0,66.67
82,79,contig-21_51_length_5766_read_count_8252_3_2430_3344,304,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
83,80,contig-21_51_length_5766_read_count_8252_4_3485_4609,374,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
84,81,contig-21_55_length_5622_read_count_8844_1_12_1199,395,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
85,82,contig-21_55_length_5622_read_count_8844_3_1667_3658,663,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,6.0,60.0
86,83,contig-21_57_length_5365_read_count_8969_1_39_2447,802,978,0.92,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,13,7.0,53.85
87,84,contig-21_57_length_5365_read_count_8969_2_2926_4284,452,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,2.0,50.0
88,85,contig-21_58_length_5268_read_count_9788_1_137_1207,356,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
89,86,contig-21_58_length_5268_read_count_9788_2_1233_3041,602,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,4.0,50.0
90,87,contig-21_58_length_5268_read_count_9788_3_3052_4962,636,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,4.0,44.44
91,88,contig-21_60_length_5203_read_count_9612_5_2870_4501,543,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,4.0,57.14
92,89,contig-21_63_length_5130_read_count_6525_2_367_4938,1523,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,31,25.0,80.65
93,90,contig-21_64_length_5103_read_count_4344_2_767_1738,323,978,0.97,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,1,1.0,100.0
94,91,contig-21_64_length_5103_read_count_4344_5_2575_5103,843,978,0.98,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,14,7.0,50.0
95,92,contig-21_65_length_5079_read_count_8927_1_162_1556,464,978,0.95,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,5,4.0,80.0
96,93,contig-21_65_length_5079_read_count_8927_5_4119_5078,320,979,0.85,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
97,94,contig-21_66_length_5068_read_count_9690_1_155_2908,917,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,16,16.0,100.0
98,95,contig-21_66_length_5068_read_count_9690_2_3194_5068,625,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,9.0,100.0
99,96,contig-21_70_length_4919_read_count_6193_3_523_1887,454,197,1.0,YP_009351861.1,Flaviviridae,Flaviviridae,Flaviviridae,244,462,non-structural protein,Non-structural,Aedes aegypti,ssRNA(+),Flavivirus,4,1.0,25.0
100,97,contig-21_70_length_4919_read_count_6193_5_2606_4918,771,978,0.98,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,12,5.0,41.67
101,98,contig-21_74_length_4797_read_count_7725_1_1_951,316,800,0.94,YP_009506366.1,Flaviviridae,Flaviviridae,Flaviviridae,226,50,polyprotein,Polyprotein,Rattus tanezumi,ssRNA(+),Pegivirus,1,1.0,100.0
102,99,contig-21_74_length_4797_read_count_7725_3_1738_2724,328,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
103,100,contig-21_74_length_4797_read_count_7725_4_2816_4651,611,574,0.99,AXU44617.1,Secoviridae,Secoviridae,Secoviridae,214,103,coat protein 1,Structural-Envelope,Oryza sativa,ssRNA(+),Waikavirus,8,3.0,37.5
104,101,contig-21_76_length_4754_read_count_8250_2_180_1871,563,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,7.0,100.0
105,102,contig-21_76_length_4754_read_count_8250_5_2669_4753,694,979,0.91,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,5.0,50.0
106,103,contig-21_77_length_4753_read_count_8774_1_166_1461,431,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
107,104,contig-21_77_length_4753_read_count_8774_3_1894_3735,613,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,6.0,75.0
109,105,contig-21_78_length_4749_read_count_6939_1_71_1072,333,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
110,106,contig-21_78_length_4749_read_count_6939_4_2388_3686,432,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,1.0,25.0
111,107,contig-21_78_length_4749_read_count_6939_5_3837_4748,303,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
112,108,contig-21_80_length_4697_read_count_7956_1_73_1692,539,978,0.93,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,6,3.0,50.0
114,109,contig-21_80_length_4697_read_count_7956_3_3261_4697,478,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,4.0,80.0
115,110,contig-21_81_length_4682_read_count_9138_1_3_1262,419,978,1.0,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,3.0,100.0
116,111,contig-21_81_length_4682_read_count_9138_2_1518_2534,338,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
