Num_seq,acc_seq,lenght_aa,Certainty,Class_predict,Rep_of_class_predict,family_2021,fams_div,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,genre,,,
1,contig-21_1_length_21551_read_count_39932_3_2704_4884,726,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
1,contig-21_1_length_21551_read_count_39932_3_2704_4884,726,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
1,contig-21_1_length_21551_read_count_39932_3_2704_4884,726,0.94,132,QRN45811.1,Reoviridae,Reoviridae,Sedoreoviridae,3292,797,VP2,Structural-Envelope,Ovis aries,dsRNA,Orbivirus,,,
1,contig-21_1_length_21551_read_count_39932_3_2704_4884,726,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
2,contig-21_1_length_21551_read_count_39932_4_5105_6016,303,0.92,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
3,contig-21_1_length_21551_read_count_39932_6_6721_7716,331,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
4,contig-21_1_length_21551_read_count_39932_12_10070_11407,445,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
4,contig-21_1_length_21551_read_count_39932_12_10070_11407,445,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
4,contig-21_1_length_21551_read_count_39932_12_10070_11407,445,0.96,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
4,contig-21_1_length_21551_read_count_39932_12_10070_11407,445,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
5,contig-21_3_length_14383_read_count_19872_1_2_1057,352,0.76,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
5,contig-21_3_length_14383_read_count_19872_1_2_1057,352,0.94,871,CAD6468500.1,Picornaviridae,Picornaviridae,Picornaviridae,831,42,polyprotein,Other-Functions,Gallus gallus,ssRNA(+),Tremovirus,,,
6,contig-21_3_length_14383_read_count_19872_2_1059_2492,477,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
6,contig-21_3_length_14383_read_count_19872_2_1059_2492,477,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
6,contig-21_3_length_14383_read_count_19872_2_1059_2492,477,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
6,contig-21_3_length_14383_read_count_19872_2_1059_2492,477,0.86,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
6,contig-21_3_length_14383_read_count_19872_2_1059_2492,477,0.95,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
7,contig-21_3_length_14383_read_count_19872_4_3106_4227,373,0.86,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
7,contig-21_3_length_14383_read_count_19872_4_3106_4227,373,0.74,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
8,contig-21_3_length_14383_read_count_19872_8_6808_8052,414,0.48,0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus,,,
8,contig-21_3_length_14383_read_count_19872_8_6808_8052,414,0.51,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
8,contig-21_3_length_14383_read_count_19872_8_6808_8052,414,0.56,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
9,contig-21_3_length_14383_read_count_19872_11_9308_10582,424,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
9,contig-21_3_length_14383_read_count_19872_11_9308_10582,424,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
9,contig-21_3_length_14383_read_count_19872_11_9308_10582,424,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
9,contig-21_3_length_14383_read_count_19872_11_9308_10582,424,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
10,contig-21_3_length_14383_read_count_19872_13_11527_12762,411,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
10,contig-21_3_length_14383_read_count_19872_13_11527_12762,411,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
10,contig-21_3_length_14383_read_count_19872_13_11527_12762,411,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
11,contig-21_3_length_14383_read_count_19872_14_12768_14267,499,0.98,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
11,contig-21_3_length_14383_read_count_19872_14_12768_14267,499,0.97,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
11,contig-21_3_length_14383_read_count_19872_14_12768_14267,499,0.87,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
11,contig-21_3_length_14383_read_count_19872_14_12768_14267,499,0.87,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
11,contig-21_3_length_14383_read_count_19872_14_12768_14267,499,0.99,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
12,contig-21_8_length_10917_read_count_23338_1_474_1970,498,0.94,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
12,contig-21_8_length_10917_read_count_23338_1_474_1970,498,0.74,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
12,contig-21_8_length_10917_read_count_23338_1_474_1970,498,0.53,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
12,contig-21_8_length_10917_read_count_23338_1_474_1970,498,0.94,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
12,contig-21_8_length_10917_read_count_23338_1_474_1970,498,0.91,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
13,contig-21_8_length_10917_read_count_23338_2_2003_2929,308,0.95,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
14,contig-21_8_length_10917_read_count_23338_3_2926_3876,316,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
15,contig-21_8_length_10917_read_count_23338_5_4637_6052,471,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
15,contig-21_8_length_10917_read_count_23338_5_4637_6052,471,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
15,contig-21_8_length_10917_read_count_23338_5_4637_6052,471,0.95,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
15,contig-21_8_length_10917_read_count_23338_5_4637_6052,471,0.78,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
15,contig-21_8_length_10917_read_count_23338_5_4637_6052,471,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
16,contig-21_8_length_10917_read_count_23338_6_6139_7431,430,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
16,contig-21_8_length_10917_read_count_23338_6_6139_7431,430,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
16,contig-21_8_length_10917_read_count_23338_6_6139_7431,430,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
16,contig-21_8_length_10917_read_count_23338_6_6139_7431,430,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,1,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,1,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,1,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,0.98,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,1,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,1,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,0.93,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,0.97,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,0.84,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,0.99,768,QOL71465.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2827,55,tegument protein UL37,Structural-Envelope,Equus caballus,dsDNA,Varicellovirus,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,0.99,768,QOL71465.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2827,55,tegument protein UL37,Structural-Envelope,Equus caballus,dsDNA,Varicellovirus,,,
17,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,1,768,QOL71465.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2827,55,tegument protein UL37,Structural-Envelope,Equus caballus,dsDNA,Varicellovirus,,,
18,contig-21_8_length_10917_read_count_23338_8_9698_10915,406,0.64,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
18,contig-21_8_length_10917_read_count_23338_8_9698_10915,406,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
18,contig-21_8_length_10917_read_count_23338_8_9698_10915,406,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
19,contig-21_11_length_9418_read_count_14404_1_1_1173,390,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
19,contig-21_11_length_9418_read_count_14404_1_1_1173,390,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
19,contig-21_11_length_9418_read_count_14404_1_1_1173,390,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
20,contig-21_11_length_9418_read_count_14404_4_1983_3083,366,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
20,contig-21_11_length_9418_read_count_14404_4_1983_3083,366,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
21,contig-21_11_length_9418_read_count_14404_5_3080_4255,391,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
21,contig-21_11_length_9418_read_count_14404_5_3080_4255,391,0.98,800,YP_009506366.1,Flaviviridae,Flaviviridae,Flaviviridae,226,50,polyprotein,Polyprotein,Rattus tanezumi,ssRNA(+),Pegivirus,,,
21,contig-21_11_length_9418_read_count_14404_5_3080_4255,391,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
22,contig-21_11_length_9418_read_count_14404_6_4367_5284,305,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
23,contig-21_11_length_9418_read_count_14404_7_5274_6569,431,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
23,contig-21_11_length_9418_read_count_14404_7_5274_6569,431,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
23,contig-21_11_length_9418_read_count_14404_7_5274_6569,431,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
23,contig-21_11_length_9418_read_count_14404_7_5274_6569,431,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
24,contig-21_11_length_9418_read_count_14404_8_6613_7578,321,0.8,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
25,contig-21_11_length_9418_read_count_14404_10_8170_9408,412,0.87,757,YP_654555.1,Secoviridae,Secoviridae,Secoviridae,912,57,polyprotein,Polyprotein,Fragaria x ananassa,ssRNA(+),Sadwavirus,,,
25,contig-21_11_length_9418_read_count_14404_10_8170_9408,412,0.48,0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus,,,
25,contig-21_11_length_9418_read_count_14404_10_8170_9408,412,0.46,0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.66,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.77,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.84,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.52,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.67,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.89,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.8,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.96,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.78,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.82,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.75,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.83,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.91,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.99,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.75,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
26,contig-21_14_length_8796_read_count_13842_1_1_2823,941,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.92,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.79,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.58,786,QDH86441.1,Totiviridae,Totiviridae,Totiviridae,3671,52,coat protein,Structural-Envelope,Botrytis cinerea,dsRNA,Victorivirus,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.76,786,QDH86441.1,Totiviridae,Totiviridae,Totiviridae,3671,52,coat protein,Structural-Envelope,Botrytis cinerea,dsRNA,Victorivirus,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.77,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.89,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.94,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,1,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
27,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,0.89,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,,,
