num_seq,num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Rep_of_class_predict,family_2021,family_divercity,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,Genus,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %
36,34,NODE_54_length_3049_cov_5.816598_1_1721_2656,311,388,1.0,QBJ02180.1,Reoviridae,Reoviridae,Sedoreoviridae,13816,177,NSP1,Non-structural,Sus scrofa,dsRNA,Rotavirus,1,1.0,100.0
37,35,NODE_58_length_3000_cov_4.585273_1_3_2999,999,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,18,15.0,83.33
38,36,NODE_59_length_2978_cov_5.525376_2_1653_2912,419,978,0.96,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,1.0,33.33
39,37,NODE_61_length_2957_cov_3.934415_2_1038_2402,454,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,3.0,75.0
40,38,NODE_62_length_2941_cov_10.239362_1_2_2941,980,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,17,17.0,100.0
41,39,NODE_63_length_2908_cov_5.079656_2_1559_2704,381,978,0.86,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,2.0,66.67
42,40,NODE_66_length_2889_cov_12.907876_1_3_1634,543,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,2.0,28.57
43,41,NODE_66_length_2889_cov_12.907876_2_1850_2776,308,979,0.87,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
44,42,NODE_68_length_2866_cov_11.679053_1_1_2619,872,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,15,11.0,73.33
45,43,NODE_69_length_2864_cov_9.550857_1_263_2122,619,259,0.99,ATZ69454.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,1232,575,polyprotein- putative movement protein,Transport,Theobroma cacao,dsDNA-RT,Badnavirus,8,3.0,37.5
46,44,NODE_70_length_2852_cov_17.112413_1_296_1471,391,979,0.91,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
47,45,NODE_71_length_2851_cov_7.258242_2_720_2042,440,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,1.0,25.0
48,46,NODE_72_length_2844_cov_6.216673_1_60_2252,730,978,0.99,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,11,4.0,36.36
49,47,NODE_75_length_2833_cov_10.130162_1_1_2709,903,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,16,11.0,68.75
50,48,NODE_78_length_2829_cov_2.644018_1_1_2829,943,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,17,13.0,76.47
51,49,NODE_79_length_2826_cov_7.917560_1_2_1306,434,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
52,50,NODE_82_length_2794_cov_25.114852_1_1_2271,756,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,12,12.0,100.0
53,51,NODE_84_length_2779_cov_14.086155_4_1838_2779,313,792,1.0,NP_612795.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,7228,52,tegument protein US22,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,1,1.0,100.0
54,52,NODE_85_length_2765_cov_8.194781_1_221_2680,819,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,13,9.0,69.23
55,53,NODE_87_length_2748_cov_9.295394_1_3_1634,543,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,7.0,100.0
56,54,NODE_88_length_2746_cov_31.414095_1_188_1741,517,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
57,55,NODE_90_length_2726_cov_2.428407_1_1666_2724,352,979,0.9,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
58,56,NODE_92_length_2700_cov_9.849942_1_209_2698,829,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,14,5.0,35.71
59,57,NODE_93_length_2695_cov_4.145688_1_618_2693,691,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,9.0,90.0
60,58,NODE_95_length_2683_cov_6.951600_1_666_2681,671,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,6.0,60.0
61,59,NODE_96_length_2678_cov_4.333203_1_2_2623,874,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,15,3.0,20.0
62,60,NODE_100_length_2669_cov_2.735086_1_221_2416,731,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,11.0,100.0
63,61,NODE_101_length_2657_cov_4.671530_1_614_2656,681,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,7.0,70.0
64,62,NODE_104_length_2641_cov_13.510317_1_1150_2394,414,978,0.98,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,3.0,100.0
65,63,NODE_105_length_2639_cov_8.611597_2_879_2084,401,166,0.85,NP_044335.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,977,623,coat protein,Polyprotein,Malus domestica,ssRNA(+),Capillovirus,3,1.0,33.33
66,64,NODE_106_length_2633_cov_12.060908_1_143_1558,471,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,3.0,60.0
67,65,NODE_107_length_2625_cov_2.873802_1_237_1535,432,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,2.0,50.0
68,66,NODE_109_length_2608_cov_2.985123_3_1703_2608,301,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
69,67,NODE_112_length_2588_cov_9.751520_1_3_2111,702,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,11.0,100.0
70,68,NODE_113_length_2585_cov_3.290584_1_1_2583,861,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,15,12.0,80.0
71,69,NODE_114_length_2584_cov_6.697117_1_1034_2314,426,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
72,70,NODE_115_length_2583_cov_12.019090_1_301_2583,760,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,12,5.0,41.67
73,71,NODE_116_length_2580_cov_26.398943_1_2_1048,348,979,0.9,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
74,72,NODE_117_length_2577_cov_5.118893_1_326_1591,421,122,0.95,QDY92366.1,Coronaviridae,Coronaviridae,Coronaviridae,13183,890,nucleocapsid protein,Structural-Envelope,Gallus gallus,ssRNA(+),Gammacoronavirus,4,2.0,50.0
75,73,NODE_118_length_2573_cov_5.867455_1_126_2573,815,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,13,12.0,92.31
76,74,NODE_121_length_2532_cov_4.079220_1_2_2530,843,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,14,14.0,100.0
77,75,NODE_122_length_2528_cov_6.602825_1_481_2526,681,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,10.0,100.0
78,76,NODE_123_length_2521_cov_3.736250_1_1222_2520,432,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,2.0,50.0
79,77,NODE_125_length_2517_cov_1.878130_1_644_2515,623,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,7.0,77.78
80,78,NODE_128_length_2502_cov_8.481310_1_1_1359,452,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,1.0,25.0
82,79,NODE_131_length_2497_cov_3.561027_1_2_2095,697,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,6.0,60.0
83,80,NODE_132_length_2488_cov_2.316857_1_561_1697,378,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
84,81,NODE_134_length_2478_cov_13.708104_1_3_2477,825,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,14,7.0,50.0
85,82,NODE_135_length_2476_cov_4.207219_1_55_2475,806,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,13,11.0,84.62
86,83,NODE_140_length_2464_cov_5.505335_1_3_2444,814,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,13,10.0,76.92
87,84,NODE_141_length_2463_cov_4.283518_3_1554_2462,302,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
88,85,NODE_143_length_2456_cov_11.277088_1_2_2131,709,979,0.92,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,5.0,45.45
89,86,NODE_144_length_2452_cov_4.623767_1_3_2417,804,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,13,10.0,76.92
90,87,NODE_145_length_2452_cov_3.968683_1_3_2450,816,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,13,7.0,53.85
91,88,NODE_146_length_2446_cov_7.409462_3_1029_2444,471,765,1.0,YP_009325632.1,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,1919,55,hypothetical protein,Hypothetical,Chlorella heliozoae,dsDNA,Chlorovirus,5,5.0,100.0
92,89,NODE_147_length_2442_cov_10.520034_1_588_2315,575,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,6.0,85.71
93,90,NODE_148_length_2442_cov_8.783283_2_337_2322,661,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,8.0,80.0
94,91,NODE_151_length_2428_cov_3.095362_1_230_2248,672,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,2.0,20.0
95,92,NODE_152_length_2426_cov_5.387852_1_3_1448,481,978,0.89,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,5,1.0,20.0
96,93,NODE_155_length_2415_cov_3.730602_2_953_2059,368,87,0.95,0905196A,Adenoviridae,Adenoviridae,Adenoviridae,1126,1288,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA,Mastadenovirus,2,2.0,100.0
97,94,NODE_160_length_2395_cov_5.240545_2_947_2362,471,978,0.95,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,5,3.0,60.0
98,95,NODE_161_length_2390_cov_5.791538_1_193_2070,625,979,0.92,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,5.0,55.56
99,96,NODE_165_length_2381_cov_4.129204_1_296_2296,666,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,4.0,40.0
100,97,NODE_166_length_2373_cov_8.403197_1_1348_2373,341,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
101,98,NODE_169_length_2361_cov_10.732589_1_419_2359,646,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,6.0,66.67
102,99,NODE_170_length_2355_cov_7.778424_1_646_1860,404,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
104,100,NODE_172_length_2349_cov_2.760323_1_2_2347,782,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,13,13.0,100.0
105,101,NODE_176_length_2339_cov_3.644725_1_1281_2252,323,925,0.99,QHN75177.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,1115,36,replicase polyprotein,Replication-Transcription,Nicotiana occidentalis,ssRNA(+),Citrivirus,1,1.0,100.0
106,102,NODE_178_length_2329_cov_32.879529_1_1_2070,689,570,1.0,AYV76052.1,Mimiviridae,Mimiviridae-Phycodnaviridae-Marseilleviridae-Poxviridae-Nimaviridae,Mimiviridae,2824,105,Hsp70 protein,Stress-Response,Acanthamoeba castellanii,dsDNA,Mimivirus,10,5.0,50.0
107,103,NODE_179_length_2329_cov_4.764493_1_2_2185,728,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,6.0,54.55
108,104,NODE_180_length_2319_cov_4.595086_1_3_1766,587,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,4.0,50.0
109,105,NODE_183_length_2314_cov_12.711354_1_42_1478,478,979,0.91,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,3.0,60.0
110,106,NODE_185_length_2311_cov_6.899087_1_220_1476,418,639,0.87,YP_009164031.1,Flaviviridae,Flaviviridae,Flaviviridae,251,83,polyprotein,Polyprotein,Culex tarsalis,ssRNA(+),Flavivirus,3,1.0,33.33
111,107,NODE_189_length_2307_cov_9.702196_1_2_2209,736,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,9.0,81.82
112,108,NODE_190_length_2306_cov_9.574828_1_1_1857,618,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,4.0,50.0
113,109,NODE_191_length_2303_cov_2.624656_1_1_2301,767,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,12,11.0,91.67
114,110,NODE_193_length_2298_cov_2.742765_2_253_2256,667,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,4.0,40.0
115,111,NODE_195_length_2287_cov_2.151431_1_1069_2286,405,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
116,112,NODE_197_length_2281_cov_7.091204_1_220_2280,686,238,1.0,YP_009824993.1,Coronaviridae,Coronaviridae,Coronaviridae,11016,356,nucleocapsid protein,Structural-Envelope,Felis catus,ssRNA(+),Alphacoronavirus,10,1.0,10.0
117,113,NODE_198_length_2280_cov_17.605373_2_409_2280,624,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,4.0,44.44
