Num_seq,acc_seq,lenght_aa,Certainty,Class_predict,Rep_of_class_predict,family_2021,fams_div,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,genre
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.98,425,YP_009553669.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,950,153,reverse transcriptase,Replication-Transcription,Brassica oleracea var. botrytis,dsDNA-RT,Caulimovirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.9,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.96,224,YP_009666113.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,152,384,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthonairovirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.84,224,YP_009666113.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,152,384,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthonairovirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.56,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.99,224,YP_009666113.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,152,384,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthonairovirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.57,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.41,0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.66,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.66,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
2,NODE_7_length_5098_cov_32.349005_2_489_1661,390,1.0,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
2,NODE_7_length_5098_cov_32.349005_2_489_1661,390,0.99,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
2,NODE_7_length_5098_cov_32.349005_2_489_1661,390,0.95,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
3,NODE_10_length_4708_cov_8.209941_3_3773_4708,311,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,0.63,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,0.95,829,YP_009133218.1,Baculoviridae,Baculoviridae,Baculoviridae,5415,47,F protein,Structural-Envelope,Lymantria dispar,dsDNA,Alphabaculovirus
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,0.42,0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,0.9,290,YP_009552848.1,Tombusviridae,Tombusviridae-Luteoviridae-Solemoviridae,Tombusviridae,3347,264,RNA-dependent RNA polymerase,Replication-Transcription,Triticum aestivum,ssRNA(+),Luteovirus
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,0.96,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
4,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,0.54,234,YP_007906023.1,Adenoviridae,Adenoviridae,Adenoviridae,7162,365,fiber,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
5,NODE_12_length_4603_cov_15.548193_4_1822_2739,305,0.94,543,QIX04702.1,Bornaviridae,Bornaviridae,Bornaviridae,1393,116,polymerase,Replication-Transcription,Callosciurus prevostii,ssRNA(-),Orthobornavirus
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,0.96,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,0.84,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,0.74,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
6,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,1.0,574,AXU44617.1,Secoviridae,Secoviridae,Secoviridae,214,103,coat protein 1,Structural-Envelope,Oryza sativa,ssRNA(+),Waikavirus
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.62,259,ATZ69454.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,1232,575,polyprotein- putative movement protein,Transport,Theobroma cacao,dsDNA-RT,Badnavirus
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.75,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.69,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.9,20,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+),Potyvirus
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.9,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.45,0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.56,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.94,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.93,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.79,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.51,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.73,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.82,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.94,902,NP_891562.2,Closteroviridae,Closteroviridae,Closteroviridae,927,38,polyprotein,Polyprotein,Prunus avium,ssRNA(+),Ampelovirus
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.62,902,NP_891562.2,Closteroviridae,Closteroviridae,Closteroviridae,927,38,polyprotein,Polyprotein,Prunus avium,ssRNA(+),Ampelovirus
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.96,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.94,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.76,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.68,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.74,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.64,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.75,978,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.88,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
7,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
8,NODE_17_length_4231_cov_7.312895_1_703_2037,444,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
8,NODE_17_length_4231_cov_7.312895_1_703_2037,444,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
8,NODE_17_length_4231_cov_7.312895_1_703_2037,444,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
8,NODE_17_length_4231_cov_7.312895_1_703_2037,444,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
9,NODE_17_length_4231_cov_7.312895_3_2549_3745,398,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
9,NODE_17_length_4231_cov_7.312895_3_2549_3745,398,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
9,NODE_17_length_4231_cov_7.312895_3_2549_3745,398,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.57,796,QGQ62777.1,Adenoviridae,Adenoviridae,Adenoviridae,2714,51,100 kDa protein,Other-Functions,Gallus gallus,dsDNA,Aviadenovirus
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.99,443,QJB18543.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7424,146,phosphoprotein,Other-Functions,Homo sapiens,ssRNA(-),Respirovirus
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.59,364,QED44253.1,Alphaflexiviridae,Alphaflexiviridae-Betaflexiviridae,Alphaflexiviridae,1528,189,replicase,Replication-Transcription,Allium sativum,ssRNA(+),Allexivirus
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.99,364,QED44253.1,Alphaflexiviridae,Alphaflexiviridae-Betaflexiviridae,Alphaflexiviridae,1528,189,replicase,Replication-Transcription,Allium sativum,ssRNA(+),Allexivirus
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.99,443,QJB18543.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7424,146,phosphoprotein,Other-Functions,Homo sapiens,ssRNA(-),Respirovirus
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.81,801,QRY06578.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,1532,50,regulatory protein IE2,Regulation-Control,Homo sapiens,dsDNA,Roseolovirus
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.71,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
10,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,0.98,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
11,NODE_20_length_3939_cov_20.272394_3_1490_2434,314,1.0,855,QHD64829.1,Hypoviridae,Hypoviridae,Hypoviridae,217,43,polyprotein,Polyprotein,Sclerotinia sclerotiorum,ssRNA(+),Betahypovirus
12,NODE_21_length_3796_cov_15.000000_1_3_1076,358,0.45,0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
12,NODE_21_length_3796_cov_15.000000_1_3_1076,358,0.93,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
13,NODE_22_length_3737_cov_15.273783_2_861_3725,954,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
